sample_id,type,sampling_event_no,site,replicate,paired,sampling_date,season,river_km,julian_date,sampling_season
PC_061,Sample,15,SW2D,A,RST,5/27/21,Spring,34.1,147,Spring(May)
PC_062,Sample,15,SW2D,B,RST,5/27/21,Spring,34.1,147,Spring(May)
PC_063,Sample,15,SW2D,C,RST,5/27/21,Spring,34.1,147,Spring(May)
PC_070,Sample,16,MACU,A,EF,10/18/21,Fall,11.1,291,Fall
PC_071,Sample,16,MACU,B,EF,10/18/21,Fall,11.1,291,Fall
PC_072,Sample,16,MACU,C,EF,10/18/21,Fall,11.1,291,Fall
PC_074,Sample,17,OLDR,A,No,10/19/21,Fall,16.9,292,Fall
PC_075,Sample,17,OLDR,B,No,10/19/21,Fall,16.9,292,Fall
PC_076,Sample,17,OLDR,C,No,10/19/21,Fall,16.9,292,Fall
PC_078,Sample,18,PEDR,A,EF,10/19/21,Fall,20.8,292,Fall
PC_079,Sample,18,PEDR,B,EF,10/19/21,Fall,20.8,292,Fall
PC_080,Sample,18,PEDR,C,EF,10/19/21,Fall,20.8,292,Fall
PC_082,Sample,19,I505,A,EF,10/20/21,Fall,35.1,293,Fall
PC_083,Sample,19,I505,B,EF,10/20/21,Fall,35.1,293,Fall
PC_084,Sample,19,I505,C,EF,10/20/21,Fall,35.1,293,Fall
PC_085,Sample,20,WIBR,A,EF,10/20/21,Fall,36.5,293,Fall
PC_086,Sample,20,WIBR,B,EF,10/20/21,Fall,36.5,293,Fall
PC_087,Sample,20,WIBR,C,EF,10/20/21,Fall,36.5,293,Fall
PC_090,Sample,21,APOR,A,MM,10/30/21,Fall,19.2,303,Fall
PC_091,Sample,21,APOR,B,MM,10/30/21,Fall,19.2,303,Fall
PC_092,Sample,21,APOR,C,MM,10/30/21,Fall,19.2,303,Fall
PC_010,Negative control,NA,FDNC_1,NA,NA,12/19/19,NA,NA,NA,NA
PC_024,Negative control,NA,FDNC_2,NA,NA,5/28/20,NA,NA,NA,NA
PC_046,Negative control,NA,FDNC_3,NA,NA,10/19/20,NA,NA,NA,NA
PC_060,Negative control,NA,FDNC_4,NA,NA,4/12/21,NA,NA,NA,NA
PC_073,Negative control,NA,FDNC_5,NA,NA,10/18/21,NA,NA,NA,NA
PC_077,Negative control,NA,FDNC_6,NA,NA,10/19/21,NA,NA,NA,NA
PC_081,Negative control,NA,FDNC_7,NA,NA,10/19/21,NA,NA,NA,NA
PC_088,Negative control,NA,FDNC_8,NA,NA,10/20/21,NA,NA,NA,NA
PC_096,Negative control,NA,FDNC_9,NA,NA,10/30/21,NA,NA,NA,NA
PC_032,Negative control,NA,PCRN,NA,NA,NA,NA,NA,NA,NA
