sample_id,Site,RM,Date,Replicate,Rep_unique,Season,Year,Species,Status,Fig_color_Jacinto,Fig_color_top4,Rel_abund,Rank
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Pomoxis nigromaculatus,Non-native,Non-native,Non-native,NA,NA
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Pimephales promelas,Non-native,Non-native,Non-native,NA,NA
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Lepomis gulosus,Non-native,Non-native,Non-native,NA,NA
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Ameiurus catus,Non-native,Non-native,Non-native,NA,NA
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Ameiurus nebulosus,Non-native,Non-native,Non-native,NA,NA
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Dorosoma petenense,Non-native,Non-native,Non-native,0.00122164,10
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Ameiurus melas,Non-native,Non-native,Non-native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Ptychocheilus grandis,Native,Native,Pgrandis,0.03438874,5
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Catostomus occidentalis,Native,Native,Coccidentalis,0.08667632,4
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Micropterus salmoides,Non-native,Msalmonoides,Msalmonoides,0.00922338,9
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Lepomis macrochirus,Non-native,Non-native,Lmachrochirus,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Gasterosteus aculeatus,Native,Native,Native,0.49653634,1
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Cottus asper,Native,Casper,Native,0.16712979,2
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Cyprinus carpio,Non-native,Ccarpio,Non-native,0.01248483,7
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Lepomis microlophus,Non-native,Non-native,Non-native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Gambusia affinis,Non-native,Non-native,Non-native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Hysterocarpus traskii,Native,Native,Native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Oncorhynchus mykiss,Native,Omykiss,Native,0.15374480,3
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Oncorhynchus tshawytscha,Native,Native,Native,0.00039137,10
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Lepomis cyanellus,Non-native,Non-native,Non-native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Orthodon microlepidotus,Native,Native,Native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Carassius auratus,Non-native,Non-native,Non-native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Menidia audens complex,Non-native,Non-native,Non-native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Percina macrolepida,Non-native,Non-native,Non-native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Notemigonus crysoleucas,Non-native,Non-native,Non-native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Micropterus dolomieu,Non-native,Non-native,Non-native,0.00936689,8
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Oncorhynchus nerka,Non-native,Non-native,Non-native,0.03005753,6
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Pomoxis nigromaculatus,Non-native,Non-native,Non-native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Pimephales promelas,Non-native,Non-native,Non-native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Lepomis gulosus,Non-native,Non-native,Non-native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Ameiurus catus,Non-native,Non-native,Non-native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Ameiurus nebulosus,Non-native,Non-native,Non-native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Dorosoma petenense,Non-native,Non-native,Non-native,NA,NA
PC_002,SCCA,31.7,12/19/19,B,B,Fall,2019,Ameiurus melas,Non-native,Non-native,Non-native,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Ptychocheilus grandis,Native,Native,Pgrandis,0.02659940,5
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Catostomus occidentalis,Native,Native,Coccidentalis,0.06009612,4
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Micropterus salmoides,Non-native,Msalmonoides,Msalmonoides,0.01203838,7
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Lepomis macrochirus,Non-native,Non-native,Lmachrochirus,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Gasterosteus aculeatus,Native,Native,Native,0.56645858,1
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Cottus asper,Native,Casper,Native,0.17597752,2
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Cyprinus carpio,Non-native,Ccarpio,Non-native,0.00309741,9
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Lepomis microlophus,Non-native,Non-native,Non-native,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Gambusia affinis,Non-native,Non-native,Non-native,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Hysterocarpus traskii,Native,Native,Native,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Oncorhynchus mykiss,Native,Omykiss,Native,0.12700972,3
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Oncorhynchus tshawytscha,Native,Native,Native,0.00020756,11
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Lepomis cyanellus,Non-native,Non-native,Non-native,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Orthodon microlepidotus,Native,Native,Native,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Carassius auratus,Non-native,Non-native,Non-native,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Menidia audens complex,Non-native,Non-native,Non-native,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Percina macrolepida,Non-native,Non-native,Non-native,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Notemigonus crysoleucas,Non-native,Non-native,Non-native,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Micropterus dolomieu,Non-native,Non-native,Non-native,0.00790318,8
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Oncorhynchus nerka,Non-native,Non-native,Non-native,0.01813740,6
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Pomoxis nigromaculatus,Non-native,Non-native,Non-native,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Pimephales promelas,Non-native,Non-native,Non-native,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Lepomis gulosus,Non-native,Non-native,Non-native,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Ameiurus catus,Non-native,Non-native,Non-native,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Ameiurus nebulosus,Non-native,Non-native,Non-native,NA,NA
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Dorosoma petenense,Non-native,Non-native,Non-native,0.00247473,10
PC_003,SCCA,31.7,12/19/19,C,C,Fall,2019,Ameiurus melas,Non-native,Non-native,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Ptychocheilus grandis,Native,Native,Pgrandis,0.06697068,5
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Catostomus occidentalis,Native,Native,Coccidentalis,0.19816405,3
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Micropterus salmoides,Non-native,Msalmonoides,Msalmonoides,0.00165828,10
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Lepomis macrochirus,Non-native,Non-native,Lmachrochirus,0.00254664,9
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Gasterosteus aculeatus,Native,Native,Native,0.23873260,2
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Cottus asper,Native,Casper,Native,0.10236304,4
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Cyprinus carpio,Non-native,Ccarpio,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Lepomis microlophus,Non-native,Non-native,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Gambusia affinis,Non-native,Non-native,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Hysterocarpus traskii,Native,Native,Native,0.02338170,6
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Oncorhynchus mykiss,Native,Omykiss,Native,0.01510216,7
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Oncorhynchus tshawytscha,Native,Native,Native,0.34739710,1
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Lepomis cyanellus,Non-native,Non-native,Non-native,0.00368374,8
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Orthodon microlepidotus,Native,Native,Native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Carassius auratus,Non-native,Non-native,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Menidia audens complex,Non-native,Non-native,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Percina macrolepida,Non-native,Non-native,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Notemigonus crysoleucas,Non-native,Non-native,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Micropterus dolomieu,Non-native,Non-native,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Oncorhynchus nerka,Non-native,Non-native,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Pomoxis nigromaculatus,Non-native,Non-native,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Pimephales promelas,Non-native,Non-native,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Lepomis gulosus,Non-native,Non-native,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Ameiurus catus,Non-native,Non-native,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Ameiurus nebulosus,Non-native,Non-native,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Dorosoma petenense,Non-native,Non-native,Non-native,NA,NA
PC_004,SW1D,21.4,12/19/19,A,A,Fall,2019,Ameiurus melas,Non-native,Non-native,Non-native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Ptychocheilus grandis,Native,Native,Pgrandis,0.05111348,5
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Catostomus occidentalis,Native,Native,Coccidentalis,0.19146239,3
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Micropterus salmoides,Non-native,Msalmonoides,Msalmonoides,0.00820104,10
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Lepomis macrochirus,Non-native,Non-native,Lmachrochirus,0.00861614,9
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Gasterosteus aculeatus,Native,Native,Native,0.23299490,2
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Cottus asper,Native,Casper,Native,0.10141920,4
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Cyprinus carpio,Non-native,Ccarpio,Non-native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Lepomis microlophus,Non-native,Non-native,Non-native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Gambusia affinis,Non-native,Non-native,Non-native,0.00065070,11
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Hysterocarpus traskii,Native,Native,Native,0.02680204,7
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Oncorhynchus mykiss,Native,Omykiss,Native,0.03427385,6
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Oncorhynchus tshawytscha,Native,Native,Native,0.33403265,1
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Lepomis cyanellus,Non-native,Non-native,Non-native,0.01043361,8
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Orthodon microlepidotus,Native,Native,Native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Carassius auratus,Non-native,Non-native,Non-native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Menidia audens complex,Non-native,Non-native,Non-native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Percina macrolepida,Non-native,Non-native,Non-native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Notemigonus crysoleucas,Non-native,Non-native,Non-native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Micropterus dolomieu,Non-native,Non-native,Non-native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Oncorhynchus nerka,Non-native,Non-native,Non-native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Pomoxis nigromaculatus,Non-native,Non-native,Non-native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Pimephales promelas,Non-native,Non-native,Non-native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Lepomis gulosus,Non-native,Non-native,Non-native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Ameiurus catus,Non-native,Non-native,Non-native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Ameiurus nebulosus,Non-native,Non-native,Non-native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Dorosoma petenense,Non-native,Non-native,Non-native,NA,NA
PC_005,SW1D,21.4,12/19/19,B,B,Fall,2019,Ameiurus melas,Non-native,Non-native,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Ptychocheilus grandis,Native,Native,Pgrandis,0.05090978,6
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Catostomus occidentalis,Native,Native,Coccidentalis,0.21564376,2
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Micropterus salmoides,Non-native,Msalmonoides,Msalmonoides,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Lepomis macrochirus,Non-native,Non-native,Lmachrochirus,0.01367022,8
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Gasterosteus aculeatus,Native,Native,Native,0.21548663,3
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Cottus asper,Native,Casper,Native,0.07328494,4
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Cyprinus carpio,Non-native,Ccarpio,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Lepomis microlophus,Non-native,Non-native,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Gambusia affinis,Non-native,Non-native,Non-native,0.00392822,9
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Hysterocarpus traskii,Native,Native,Native,0.02686905,7
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Oncorhynchus mykiss,Native,Omykiss,Native,0.05160114,5
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Oncorhynchus tshawytscha,Native,Native,Native,0.34860627,1
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Lepomis cyanellus,Non-native,Non-native,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Orthodon microlepidotus,Native,Native,Native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Carassius auratus,Non-native,Non-native,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Menidia audens complex,Non-native,Non-native,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Percina macrolepida,Non-native,Non-native,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Notemigonus crysoleucas,Non-native,Non-native,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Micropterus dolomieu,Non-native,Non-native,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Oncorhynchus nerka,Non-native,Non-native,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Pomoxis nigromaculatus,Non-native,Non-native,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Pimephales promelas,Non-native,Non-native,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Lepomis gulosus,Non-native,Non-native,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Ameiurus catus,Non-native,Non-native,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Ameiurus nebulosus,Non-native,Non-native,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Dorosoma petenense,Non-native,Non-native,Non-native,NA,NA
PC_006,SW1D,21.4,12/19/19,C,C,Fall,2019,Ameiurus melas,Non-native,Non-native,Non-native,NA,NA
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Ptychocheilus grandis,Native,Native,Pgrandis,0.04799581,6
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Catostomus occidentalis,Native,Native,Coccidentalis,0.15686375,3
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Micropterus salmoides,Non-native,Msalmonoides,Msalmonoides,0.11804341,4
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Lepomis macrochirus,Non-native,Non-native,Lmachrochirus,0.18704458,1
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Gasterosteus aculeatus,Native,Native,Native,0.00155690,18
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Cottus asper,Native,Casper,Native,0.02156685,11
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Cyprinus carpio,Non-native,Ccarpio,Non-native,0.16533735,2
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Lepomis microlophus,Non-native,Non-native,Non-native,0.10725999,5
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Gambusia affinis,Non-native,Non-native,Non-native,0.01235308,14
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Hysterocarpus traskii,Native,Native,Native,0.01027297,16
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Oncorhynchus mykiss,Native,Omykiss,Native,NA,NA
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Oncorhynchus tshawytscha,Native,Native,Native,0.02528043,9
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Lepomis cyanellus,Non-native,Non-native,Non-native,0.01625809,13
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Orthodon microlepidotus,Native,Native,Native,0.02660762,8
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Carassius auratus,Non-native,Non-native,Non-native,0.04161509,7
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Menidia audens complex,Non-native,Non-native,Non-native,0.01979301,12
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Percina macrolepida,Non-native,Non-native,Non-native,0.01213614,15
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Notemigonus crysoleucas,Non-native,Non-native,Non-native,0.02475721,10
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Micropterus dolomieu,Non-native,Non-native,Non-native,NA,NA
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Oncorhynchus nerka,Non-native,Non-native,Non-native,NA,NA
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Pomoxis nigromaculatus,Non-native,Non-native,Non-native,0.00525772,17
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Pimephales promelas,Non-native,Non-native,Non-native,NA,NA
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Lepomis gulosus,Non-native,Non-native,Non-native,NA,NA
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Ameiurus catus,Non-native,Non-native,Non-native,NA,NA
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Ameiurus nebulosus,Non-native,Non-native,Non-native,NA,NA
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Dorosoma petenense,Non-native,Non-native,Non-native,NA,NA
PC_007,MACD,6.6,12/19/19,A,A,Fall,2019,Ameiurus melas,Non-native,Non-native,Non-native,NA,NA
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Ptychocheilus grandis,Native,Native,Pgrandis,0.09941839,5
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Catostomus occidentalis,Native,Native,Coccidentalis,0.12498008,4
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Micropterus salmoides,Non-native,Msalmonoides,Msalmonoides,0.14457959,3
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Lepomis macrochirus,Non-native,Non-native,Lmachrochirus,0.28554735,1
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Gasterosteus aculeatus,Native,Native,Native,0.00011951,16
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Cottus asper,Native,Casper,Native,0.02309184,9
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Cyprinus carpio,Non-native,Ccarpio,Non-native,0.14499124,2
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Lepomis microlophus,Non-native,Non-native,Non-native,0.06843894,6
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Gambusia affinis,Non-native,Non-native,Non-native,0.01110108,10
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Hysterocarpus traskii,Native,Native,Native,NA,NA
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Oncorhynchus mykiss,Native,Omykiss,Native,NA,NA
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Oncorhynchus tshawytscha,Native,Native,Native,0.00667924,12
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Lepomis cyanellus,Non-native,Non-native,Non-native,0.00427577,15
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Orthodon microlepidotus,Native,Native,Native,0.00641366,13
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Carassius auratus,Non-native,Non-native,Non-native,0.02787220,8
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Menidia audens complex,Non-native,Non-native,Non-native,0.00768843,11
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Percina macrolepida,Non-native,Non-native,Non-native,0.00431561,14
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Notemigonus crysoleucas,Non-native,Non-native,Non-native,0.04048707,7
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Micropterus dolomieu,Non-native,Non-native,Non-native,NA,NA
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Oncorhynchus nerka,Non-native,Non-native,Non-native,NA,NA
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Pomoxis nigromaculatus,Non-native,Non-native,Non-native,NA,NA
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Pimephales promelas,Non-native,Non-native,Non-native,NA,NA
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Lepomis gulosus,Non-native,Non-native,Non-native,NA,NA
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Ameiurus catus,Non-native,Non-native,Non-native,NA,NA
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Ameiurus nebulosus,Non-native,Non-native,Non-native,NA,NA
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Dorosoma petenense,Non-native,Non-native,Non-native,NA,NA
PC_008,MACD,6.6,12/19/19,B,B,Fall,2019,Ameiurus melas,Non-native,Non-native,Non-native,NA,NA
PC_009,MACD,6.6,12/19/19,C,C,Fall,2019,Ptychocheilus grandis,Native,Native,Pgrandis,0.071782888,6
PC_009,MACD,6.6,12/19/19,C,C,Fall,2019,Catostomus occidentalis,Native,Native,Coccidentalis,0.171630768,2
PC_009,MACD,6.6,12/19/19,C,C,Fall,2019,Micropterus salmoides,Non-native,Msalmonoides,Msalmonoides,0.073678873,5
PC_009,MACD,6.6,12/19/19,C,C,Fall,2019,Lepomis macrochirus,Non-native,Non-native,Lmachrochirus,0.237042263,1
PC_009,MACD,6.6,12/19/19,C,C,Fall,2019,Gasterosteus aculeatus,Native,Native,Native,0.002976256,16
